DRIVER NAME,PH NO,D.O.B,ADDRESS,EXPERIENCE,AGE
"Braund, Mr. Owen Harris",9880776675,2000-08-10,RAMANAHALLI,10,20
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",8618638645,1998-05-05,KADUR,13,33
"Heikkinen, Miss. Laina",7356500615,1996-01-28,CHIKKAMAGALURU,1,38
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",6094362585,1993-10-10,TARIKERE,14,39
"Allen, Mr. William Henry",4832224555,1991-07-17,KADUR,5,22
"Moran, Mr. James",3570086525,1989-04-10,SHIMOGA,7,35
"McCarthy, Mr. Timothy J",2307948495,1987-01-03,BIRUR,3,33
"Palsson, Master. Gosta Leonard",1045810465,1984-09-27,AJJAMPURA,1,19
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",9216327565,1982-06-22,ARSIKERE,13,20
"Nasser, Mrs. Nicholas (Adele Achem)",1478465595,1980-03-16,TUMNKUR,15,21
"Sandstrom, Miss. Marguerite Rut",2740603625,1977-12-09,MYSORE,11,28
"Bonnell, Miss. Elizabeth",1305424655,1975-09-03,BALLARI',13,22
"Saundercock, Mr. William Henry",657211410.45455,1973-05-28,KODAGU,1,29
"Andersson, Mr. Anders Johan",8998165.90909004,1971-02-20,MADIKEREI,5,35
"Vestrom, Miss. Hulda Amanda Adolfina",-639215078.63636,1968-11-14,HASSAN,5,21
"Hewlett, Mrs. (Mary D Kingcome) ",-1287428323.18182,1966-08-09,TIPTUR,3,34
"Rice, Master. Eugene",-1935641567.7273,1964-05-03,KADUR,4,19
"Williams, Mr. Charles Eugene",-2583854812.2727,1962-01-26,CHIKKAMAGALURU,10,37
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",-3232068056.8182,1959-10-21,TARIKERE,9,34
"Masselmani, Mrs. Fatima",-3880281301.3636,1957-07-15,KADUR,15,39
"Fynney, Mr. Joseph J",-4528494545.9091,1955-04-09,SHIMOGA,5,25
"Beesley, Mr. Lawrence",-5176707790.4545,1953-01-01,BIRUR,2,22
"McGowan, Miss. Anna ""Annie""",-5824921035,1950-09-26,AJJAMPURA,12,37
"Sloper, Mr. William Thompson",-6473134279.5455,1948-06-20,ARSIKERE,14,31
"Palsson, Miss. Torborg Danira",-7121347524.0909,1946-03-15,TUMNKUR,3,25
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",-7769560768.6364,1943-12-08,MYSORE,1,35
"Emir, Mr. Farred Chehab",-8417774013.1818,1941-09-01,BALLARI',7,19
"Fortune, Mr. Charles Alexander",-9065987257.7273,1939-05-27,KODAGU,4,39
"O'Dwyer, Miss. Ellen ""Nellie""",-9714200502.2727,1937-02-18,MADIKEREI,8,28
"Todoroff, Mr. Lalio",-10362413746.8182,1934-11-13,HASSAN,7,23
"Uruchurtu, Don. Manuel E",-11010626991.3636,1932-08-07,TIPTUR,1,34
"Spencer, Mrs. William Augustus (Marie Eugenie)",-11658840235.9091,1930-05-02,KADUR,9,21
"Glynn, Miss. Mary Agatha",-12307053480.4545,1928-01-25,CHIKKAMAGALURU,13,26
"Wheadon, Mr. Edward H",-12955266725,1925-10-19,TARIKERE,0,34
"Meyer, Mr. Edgar Joseph",-13603479969.5455,1923-07-14,KADUR,11,37
"Holverson, Mr. Alexander Oskar",-14251693214.0909,1921-04-07,SHIMOGA,4,28
"Mamee, Mr. Hanna",-14899906458.6364,1918-12-31,BIRUR,10,30
"Cann, Mr. Ernest Charles",-15548119703.1818,1916-09-24,AJJAMPURA,2,19
"Vander Planke, Miss. Augusta Maria",-16196332947.7273,1914-06-19,ARSIKERE,7,40
